Respondent?s name ,SL,Address  ,Mahalla/village,Upazila / Thana ,Zila (district) ,Landmark (renowned structure name/ road intersection) ,Location type,Name of supervisor ,Interviewer?s name ,GPS coordinates ,Interviewer visits ,Interview start time ,Interview end time ,Interviewer ID number,Respondent  consent,Contact number ,Age,Gender,Married,Can read a bangla letter ,Education,Name of Establishment / Store / Outlet owner,Type of business,Number of day store open (Weekly),Total household member,Adult household member,Income source,Common sell item (five number),Full time worker,Business duration,Previous occupation,Major goals for business,Main barriers and challenges ,Support Type,Training Type,Ownership type ,Business located ,Property ownership,Structure type of the store,Facilities,Trade license,Number of Employee,Number of support member(Family),Number of contractual employee,Total Employee, Average number customer,Average sell per customer,Percentage of known/regular customer,Credit offer,Monthly  credit sell percentage ,Income from daily sells,Expendature from daily sells ,Agreement with statement,Monetary problem for payment,Feel safe in cash payment ,Concern about money safeness,Cash Transactions difficulty,Feel lack of capital, Need  products in stock for better business  ,Maintaining accounts type, Mainatining accounts for goods,Maintaining  household expenses,Separate household and business expenses,Supplies of goods/merchandise,Overall supplies from one point,Payment Terms by Supply Mode,Payment Terms for company distributor ,Payment Terms for company/manufacturer,Payment terms for wholesalers,Payment terms in nearby haaat,Payment terms in same/nearby area,Payment terms in others (specify),Frequency of replenish  stock/procure goods and supplies,Credit or installment payment for goods in last year,Last year taken any personal/ business loan, Pending business loans,Amounts of pending loan,Amounts of current pending business loan,Largest loan taken location, Would take loan if possible ,Access to loan,Family members have feature (phone with internet connection facility) / basic phone , Family membersÿown a smartphone with a touchscreen,Family membersÿdo not own a phone,Have Personal Phone,Type of Phone,use of personal mobile phone,Challenges  of personal mobile phone,Usees of computer(personal/business),Internet Connectivity in store computer,Frequentness of receiving stock/services from  suppliers,Frequentness of payment to  suppliers,Payment Terms to Suppliers,Problem facing on time payment,Barriers through mobile account payment for suppliers,Access to services,Distance from the store, Cost to reach  from the store, Nearest bank branch (any bank),Nearest ATM,Nearest bKash/Rocket or other digital payment agent ,"Nearest place from where send or receive money (if it is one of the above mentioned, then repeat that  information) ","Nearest place where can recharge (buy airtime or top-up) your mobile (if it is one of the above mentioned, then repeat that  information) ",Have bank account,Last use of account,Bank Name,Bank account for business activity, Use your bank account,Reaching time (minutes) in bank,Cost to reach bank,Reasons of not having a bank account,Headed mobile money,Have any MFS account,Likeness  of three things  in mobile money service,Name three things like least about mobile money service,Name of mobile money service(if available),Personal or merchant account,Name three things you like most about transferring money via your mobile money serviceÿ,Name three things you like least about transferring money via your mobile money service,Last time heared MFS,Accepted MFS from customers,From time accepted MFS, Any changes of customers from using digital MFS,Frequentness of using  merchant account (for business purpose),User friendlyness of MFS ,Reason for not accceptance MFS, Make payments any mobile payment system to your suppliers,Reason not using MFS for suppliers,Acceptancy of payment through debit/credit card ,Percentage customer who pay using card,Cash,Pays using a debit/ credit card ,Pay through mobile payment service,make time to transactions,Cash2,Pays using a debit/ credit card 3,Pay through mobile payment service4,Benefits of receiving payments through mobile payment service,Problem facing for receiving mobile payment ,Face monthly limit barrier, Payments not received because of not getting system confirmation on time,Could not receive payments because of cell phone connectivity ,Customer could not make the payment because of system problem,Customer could not make the payment because of lack of balance on mobile money account,Customer made a mistake ,Transaction was slow/resulted in long lines ,Other (specify)  ,Increase the percentage of your sales (number of customer) that is paid through mobile payment service,Not  interested because increase the percentage,Member of  an asscociation,Name of Association,How many household members are 12-years-old or youngerÿ?,Do all children ages 6 to 12 currently attend a school/educational institutionÿ?,"In the past year, did any household member ever do work for which he/she was paid on a daily basisÿ?",How many rooms does your household occupy (excluding rooms used for businessÿ)?,What is the major construction material of the walls of the main roomÿ? ,Does the household own any televisionsÿ?,How many fans does the household ownÿ?,How many mobile phones does the household ownÿ?,"Does the household own any bicycles, motorcycle/scooters, or motor cars, etcÿ.?",Does the household own (or rent/sharecrop/mortgage in or out) 51 or more decimals of cultivable agricultural land (excluding uncultivable land and dwelling ? house/homestead landÿ)? 
,1,,,,,,URBAN,,,,Visit 2,,,1,Yes,,68,Female,No,No,University Degree,,Variety/General store,2,6,4,No Response,,No,7,Other,,Other please describe,,Other please specify,Partnership,Separate from resident,Own,Permanent kiosk,Land phone line,Yes,2,2,3,,111,71,Between 26 - 50% customers are known,"Yes, regularly",51-60%,2779,Keep it at home,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree somewhat,Agree somewhat,Manually enter in the computer,Write it to my account book,No,Yes,Others,14,Cash,Cash & Credit both,Cash & Credit both,Credit,Cash,Cash,Cash,2-3 days a week,"Yes, sometimes",No,Yes,2,90654,From friends,Strongly disagree,Disagree somewhat,3,1,1,No,,Use Facebook or other social networking site,Network connectivity problem / poor mobile service,No,Rarely,Once a month,2-3 times a month,Mobile payment service,I always pay on time,Suppliers do not  want to receive payments through mobile money account,,7,18,2,0,1,4,1,One account for both- personal and business,In the past 30 days,Mutual Trust bank ltd.,No,Mobile app/mobile banking,45,24,There are no banks nearby my residence,No,No,,,OK,Merchant,,,In the past 90 days,Yes,2017,Highly decreased,Daily,Very easy,Many customers do not have money in their MFS account,No,Others,No,No,11-20%,21-30%,11-20%,,800,2173,137,It offers campaigns and discounts for customers,,"Yes, sometimes","Yes, sometimes","Yes, sometimes","No, never","Yes, frequently","Yes, frequently","No, never","Yes, sometimes",,Many customers do not have a MFS account,No,Co-opeartive,Two,Yes,Yes,One,Brick/cement,Yes,One,None,Yes,Yes
,2,,,,,,RURAL,,,,Visit 2,,,2,Yes,,41,Female,No,Yes,Others,,Cosmetic store,3,7,5,Others,,No,1,Farming/agriculture,,Poor physical infrastructure,,Other please specify,Family business,Attached with residence,Other,Permanent kiosk,Computer,Yes,1,0,2,,181,84,Between 26 - 50% customers are known,"No, never",11-20%,1836,Keep it at home,,Strongly disagree,Agree somewhat,Strongly agree,Strongly disagree,Strongly disagree,Disagree somewhat,Have a barcode scanner that automatically scans item and keeps accounts,Manually enter in the computer,Yes,Yes,Large store in same/nearby area,11,Cash,Cash,Cash,Cash & Credit both,Cash,Cash & Credit both,Cash & Credit both,4-6 days a week,"No, never",Yes,Yes,4,53134,"From a bank, post office or microfinance institution",Strongly disagree,Strongly disagree,3,1,3,No,,Send/Receive Email,Network connectivity problem / poor mobile service,Yes,Rarely,Less than once a month,Less than once a month,Other,Sometimes have to ask for more time or for a loan,I do not trust system,,9,14,3,5,2,2,5,Business account,More than 90 days ago,Uttara bank,No,Mobile app/mobile banking,40,41,Registration fees and fees for using it are too high,No,No,,,MYCash,Personal,,,More than 90 days ago,Yes,2016,Somewhat decreased,Once a week,Difficult,My phone or phone network is not working properly,No,Fear of hacking,No,Yes,0%,81-90%,51-60%,,1955,4524,463,It is possible to pay remote payments through this,,"Yes, sometimes","No, never","No, never",Rarely,"Yes, frequently","Yes, sometimes","Yes, sometimes","No, never",,It takes too long for transaction /results to long lines,No,Village level association (Informal),Three or more,No members at age 6-to-12,No,None,Brick/cement,No,Three or more,One,No,No
,3,,,,,,RURAL,,,,Visit 1,,,3,No,,21,Male,No,Yes,Higher Secondary Education,,Wholesale cum retail grocery shop,7,8,5,Work in your own activity and you are your own boss (Self-employment)/ Business,,Yes,6,Job/Paid employment,,Monitoring and inspections by regulatory bodies,,Lobbying and protection of interests,Partnership,Attached with residence,Rent,Kutcha shack,Land phone line,Yes,3,1,0,,218,30,Up to 25% customers are known,"Yes, sometimes",31-40%,2087,Give it to someone for safekeeping,,Strongly agree,Disagree somewhat,Agree somewhat,Disagree somewhat,Strongly agree,Agree somewhat,Do not keep accounts daily,Have a barcode scanner that automatically scans item and keeps accounts,Yes,Yes,Large store in nearby haaat,14,Credit,Credit,Cash,Cash & Credit both,Cash & Credit both,Cash & Credit both,Credit,4-6 days a week,"No, never",No,No,3,,From friends,Disagree somewhat,Disagree somewhat,3,3,1,No,,Transfer phone credit,Do not face any problems,No,"Yes, frequently",Once a week,2-3 times a week,Cash,I always pay on time,No trust on this service,,7,23,2,4,0,5,0,Personal account,In the past 30 days,HSBC bank,Yes,Banks' website/online banking,14,33,I like to transact in cash,No,No,,,MCash,Personal,,,In the past 90 days,Yes,2014,About the same,Once a week,Somewhat difficult,Customers do not have trust on MFS account,No,Others,No,No,11-20%,51-60%,11-20%,,10,2661,1599,It offers campaigns and discounts for customers,,"Yes, frequently","No, never","Yes, sometimes","Yes, sometimes","No, never","Yes, sometimes","No, never","Yes, frequently",,I do not trust it,No,Others,One,No,Yes,Two,"Hemp/hay/bamboo, or other",No,Two,None,No,No
,4,,,,,,RURAL,,,,Visit 1,,,4,Yes,,63,Male,Yes,No,Others,,Cosmetic store,5,5,2,Receive money from migrant family members (Remittances),,Yes,19,Farming/agriculture,,Poor physical infrastructure,,"Legal support, Issues related registering and licensing of business",Family business,Separate from resident,Other,Permanent kiosk,Electronic Cash register,Yes,2,1,2,,252,66,Between 51 - 75% customers are known,"No, never",21-30%,942,#VALUE!,,Disagree somewhat,Disagree somewhat,Agree somewhat,Disagree somewhat,Agree somewhat,Agree somewhat,Write it to my account book,Manually enter in the computer,No,No,Directly from the company/manufacturer,5,Cash,Cash,Credit,Cash,Credit,Cash & Credit both,Credit,4-6 days a week,"Yes, sometimes",Yes,No,4,65899,From friends,Strongly disagree,Agree somewhat,3,3,1,No,,Use bKash mobile money transactions,Phone not working properly (other than connectivity issues),No,"Yes, sometimes",Once a month,Less than once a month,Mobile payment service,Sometimes have to ask for more time or for a loan,I do not trust system,,9,23,3,1,4,2,1,Business account,In the past 30 days,Dhaka bank,No,Other,24,40,Registration fees and fees for using it are too high,No,Yes,,,Others,Personal,,,In the past 90 days,Yes,2016,Highly increased,Daily,Somewhat difficult,Many customers do not think that it is convenient or useful,No,Fear of hacking,No,Yes,51-60%,81-90%,31-40%,,1974,1286,769,It offers campaigns and discounts for customers,,"Yes, sometimes",Rarely,"Yes, frequently","Yes, sometimes","Yes, frequently","No, never",Rarely,"Yes, sometimes",,Many customers do not have money in their MFS account,No,Micro-credit group,Three or more,No members at age 6-to-12,No,None,"Hemp/hay/bamboo, or other",No,Three or more,Two,Yes,Yes
,5,,,,,,URBAN,,,,Visit 2,,,5,No,,31,Female,Yes,No,University Degree,,Retail grocery shop,6,7,3,Pension,,Yes,18,Other,,Other please describe,,Lobbying and protection of interests,Partnership,Attached with residence,Own,Semi pucca shack,Electricity connection,No,1,0,1,,273,54,Up to 25% customers are known,Rarely,51-60%,1021,Spend it immediately for personal expenses,,Strongly disagree,Agree somewhat,Agree somewhat,Strongly disagree,Strongly agree,Agree somewhat,Write it to my account book,Manually enter in the computer,No,Yes,Large store in nearby haaat,17,Cash,Cash & Credit both,Credit,Cash & Credit both,Cash,Cash,Credit,Everyday,"No, never",No,Yes,1,95546,From a village Level savings Group,Agree somewhat,Agree somewhat,3,3,2,Yes,Feature/basic/camera phone,Send/Receive SMS Text messages,Network connectivity problem / poor mobile service,Yes,Rarely,Less than once a month,Once a month,Other,Other,I do not trust system,,2,28,1,5,3,5,1,Business account,In the past 90 days,Jamuna bank,No,Mobile app/mobile banking,15,21,I like to transact in cash,No,Yes,,,MCash,Personal,,,In the past 90 days,No,2012,Highly increased,2-3 times a month,Somewhat difficult,My phone or phone network is not working properly,Yes,Supplier do not accept pyment through mobile payment system,Yes,Yes,11-20%,21-30%,61-70%,,57,688,388,It offers campaigns and discounts for customers,,"No, never","No, never","Yes, frequently","No, never","Yes, frequently",Rarely,Rarely,"No, never",,My phone or phone network is not working properly,No,Co-opeartive,One,No members at age 6-to-12,No,Two,Brick/cement,Yes,Three or more,Two,Yes,No
,6,,,,,,RURAL,,,,Visit 2,,,6,Yes,,17,Male,Yes,No,Madrasha Education,,Retail grocery shop,7,7,3,No Response,,Yes,10,Other,,Other please describe,,"Legal support, Issues related registering and licensing of business",Family business,Separate from resident,Own,Kutcha shack,Computer,Yes,0,3,0,,245,39,Don't know,"Yes, sometimes",21-30%,1513,Spend it immediately for personal expenses,,Strongly agree,Disagree somewhat,Strongly agree,Agree somewhat,Strongly disagree,Strongly disagree,I keep my accounts by remembering,Do not keep accounts daily,No,Yes,Wholesaler in wholesale market,9,Credit,Cash,Cash,Cash,Cash,Cash & Credit both,Cash & Credit both,4-6 days a week,Rarely,Yes,Yes,4,77361,"From a bank, post office or microfinance institution",Agree somewhat,Strongly disagree,2,2,3,Yes,Feature/basic/camera phone,Made/receive calls,"Phone runs out of storage (space for saving picture, apps and other information)",No,Rarely,Once a week,Once a month,Cash,Other,Other,,3,50,4,5,1,5,1,Business account,In the past 7 days,EXIM bank,No,Other,9,16,It is not permitted by my religion,No,Yes,,,Others,Personal,,,In the past 30 days,No,2016,Highly decreased,Once a week,Somewhat easy,I need cash money to run my business,Yes,Do not know how to make payment through mobile phone,No,No,11-20%,61-70%,61-70%,,911,2860,1564,It helps the store?s marketing or attracts more customers,,Rarely,"Yes, frequently","No, never",Rarely,"Yes, frequently","Yes, sometimes",Rarely,Rarely,,It takes too long for transaction /results to long lines,Yes,Micro-credit group,One,No members at age 6-to-12,Yes,Two,Mud brick or C.I. sheet/wood,Yes,One,Two,Yes,Yes
,7,,,,,,URBAN,,,,Visit 2,,,7,Yes,,47,Male,Yes,No,University Degree,,Cosmetic store,4,5,4,Pension,,No,20,Job/Paid employment,,Energy connection,,Hard to say,Family business,Separate from resident,Own,Kutcha shack,Electricity connection,Yes,0,2,2,,181,90,Up to 25% customers are known,Rarely,61-70%,706,Deposit it in a bKash/Rocket or any other mobile money account,,Strongly disagree,Disagree somewhat,Strongly disagree,Agree somewhat,Strongly agree,Strongly disagree,Have a barcode scanner that automatically scans item and keeps accounts,I keep my accounts by remembering,No,Yes,Large store in nearby haaat,19,Credit,Cash,Cash,Credit,Credit,Cash,Cash & Credit both,4-6 days a week,Rarely,No,Yes,5,42755,From a village Level savings Group,Agree somewhat,Agree somewhat,1,1,1,No,,Transfer phone credit,"Phone runs out of storage (space for saving picture, apps and other information)",Yes,"Yes, sometimes",Less than once a month,2-3 times a week,Through my bank account,Often have to ask for more time or for a loan,Takes long time,,7,39,4,1,0,1,1,Personal account,Yesterday,Others,No,Mobile app/mobile banking,17,21,It is not permitted by my religion,No,Yes,,,MCash,Merchant,,,More than 90 days ago,No,2016,About the same,Once a month,Difficult,Customers do not have trust on MFS account,Yes,Supplier do not accept pyment through mobile payment system,Yes,No,31-40%,1-10%,31-40%,,1790,3220,1275,Other,,"Yes, frequently","Yes, sometimes","Yes, sometimes","Yes, sometimes",Rarely,"Yes, frequently","Yes, sometimes",Rarely,,The service is not reliable,No,Micro-credit group,One,No members at age 6-to-12,No,Three or more,Brick/cement,No,One,None,No,No
,8,,,,,,URBAN,,,,Visit 2,,,8,No,,19,Female,No,No,Secondary Vocational Training complete/ certificate complete,,Cosmetic store,2,8,3,No Response,,Yes,11,Job/Paid employment,,"Insufficient knowledge, information, business experience",,Marketing,Family business,Separate from resident,Rent,Permanent kiosk,Computer,No,1,2,0,,215,41,Up to 25% customers are known,"Yes, sometimes",0%,1701,Don't have any money left at the end of the day,,Disagree somewhat,Strongly disagree,Strongly agree,Agree somewhat,Strongly disagree,Disagree somewhat,Have a barcode scanner that automatically scans item and keeps accounts,I keep my accounts by remembering,Yes,Yes,Directly from the company/manufacturer,5,Credit,Cash & Credit both,Credit,Cash & Credit both,Cash,Cash & Credit both,Cash & Credit both,4-6 days a week,"Yes, sometimes",No,Yes,2,14146,From friends,Disagree somewhat,Disagree somewhat,3,3,3,No,,Send/Receive SMS Text messages,Do not face any problems,No,"Yes, sometimes",2-3 times a month,Once a month,Through my bank account,Sometimes have to ask for more time or for a loan,Transaction limit is too low,,10,32,3,0,4,0,0,Personal account,In the past 90 days,First Security Islami bank ltd.,No,Mobile app/mobile banking,47,31,I do not believe that my money will be safe in a bank,No,No,,,Rocket (DBBL),Personal,,,In the past 90 days,Yes,2013,Somewhat increased,2-3 times a month,Very easy,My phone or phone network is not working properly,Yes,Others,Yes,No,71-80%,71-80%,Don?t know,,1910,3897,1343,It is convenient,,"Yes, sometimes","Yes, sometimes","Yes, frequently","Yes, sometimes","No, never","Yes, frequently","Yes, frequently","No, never",,Many customers do not think that it is convenient or useful,Yes,Business association,None,No,No,None,Brick/cement,No,Three or more,Two,Yes,No
,9,,,,,,RURAL,,,,Visit 1,,,9,No,,17,Female,Yes,Yes,Primary Education,,Other (Specify),2,7,3,No Response,,No,2,Farming/agriculture,,Other please describe,,"Accounting, taxation, bookkeeping",Single proprietorship,Separate from resident,Other,Semi-permanent kiosk,Business Cellphone (separate from owner?s personal),Yes,0,3,2,,242,91,Between 51 - 75% customers are known,"No, never",11-20%,535,Deposit it in Co-operative,,Strongly agree,Agree somewhat,Disagree somewhat,Disagree somewhat,Strongly agree,Agree somewhat,Write it to my account book,Do not keep accounts daily,No,No,Others,17,Cash,Cash,Cash & Credit both,Credit,Cash & Credit both,Credit,Credit,2-3 days a week,"Yes, sometimes",Yes,Yes,3,58434,From a village Level savings Group,Strongly disagree,Disagree somewhat,3,3,2,No,,Browse the internet,Do not face any problems,No,"Yes, sometimes",2-3 times a month,Once a month,Cash,Often have to ask for more time or for a loan,Other,,9,18,1,5,1,5,2,Business account,In the past 30 days,Sonali bank,No,Banks' website/online banking,55,43,I do not need a bank account,No,No,,,OK,Merchant,,,In the past 90 days,Yes,2016,Highly increased,Once a week,Very easy,Monthly transaction limits are too low,Yes,Do not know how to make payment through mobile phone,Yes,Yes,81-90%,11-20%,1-10%,,535,2792,637,It offers campaigns and discounts for customers,,Rarely,"No, never","No, never","Yes, sometimes","No, never","Yes, frequently","Yes, frequently",Rarely,,I need cash money to run my business,Yes,Micro-credit group,None,No,No,One,Brick/cement,No,Three or more,One,No,No
,10,,,,,,URBAN,,,,Visit 1,,,10,Yes,,34,Female,No,No,Higher Secondary Education,,Cosmetic store,5,6,3,Work for someone else (Wage employment),,Yes,12,Other,,"Insufficient knowledge, information, business experience",,Marketing,Partnership,Attached with residence,Rent,Permanent kiosk,Electricity connection,No,1,0,0,,221,10,Between 76% - 100% customers are known,"Yes, sometimes",71-80%,2648,Give it to someone for safekeeping,,Disagree somewhat,Strongly disagree,Strongly disagree,Strongly agree,Disagree somewhat,Strongly disagree,Do not keep accounts daily,Have a barcode scanner that automatically scans item and keeps accounts,Yes,Yes,Wholesaler in wholesale market,10,Credit,Cash,Cash & Credit both,Cash,Cash,Credit,Cash & Credit both,Everyday,Rarely,Yes,No,5,46736,From friends,Disagree somewhat,Disagree somewhat,3,2,2,No,,Made/receive calls,Phone runs out of battery,Yes,"Yes, sometimes",2-3 times a month,Once a week,Mobile payment service,Sometimes have to ask for more time or for a loan,The suppliers or I do not always have a working phone,,5,19,5,1,5,2,0,One account for both- personal and business,More than 90 days ago,Agrani bank,No,Mobile app/mobile banking,39,19,There are no banks nearby my residence,Yes,Yes,,,MCash,Merchant,,,Yesterday,Yes,2016,Somewhat increased,Once a week,Somewhat easy,Customers do not have trust on MFS account,Yes,Supplier do not accept pyment through mobile payment system,No,No,11-20%,Don?t know,61-70%,,1973,2094,1855,Other,,"Yes, frequently",Rarely,Rarely,"Yes, sometimes",Rarely,"Yes, sometimes","No, never",Rarely,,Many customers do not have a working cellphone,No,Village level association (Informal),One,Yes,Yes,None,Brick/cement,No,Three or more,Two,No,No
